Trip_ID,Net group,Net treatment,Time Setting,Time Pulling,Soak_duration,Total Catch #,Total catch Weigth [kg],Avg Herring F.L [cm],Avg Herring Weight (g),SH Sculpin,Atlantic Cod,Yellowtail Flounder,HERG,GBBG,LBBG,RBGU,ICGU,BLKI,DCCO,GRCO,NOGA,COMU,RAZO,BLGU,Auk (unidentified),ATPU,Bald Eagle,Merganser,Long-tailed Duck,Common Eider,Common Tern,Common Raven,American Pipit,Comments,
BdV_9,1,12hrs,5/21/2024 6:09:00,5/21/2024 16:26:00,10:17:00,6,1.505,29.33,250.833,,,,12,2,,,,,,,,,,1,,,,,,,,,,,
BdV_9,2,12hrs,5/21/2024 7:08:00,5/21/2024 16:10:00,9:02:00,100,unknown,30.575,278,,,,160,8,1,,,104,1,,2,,,1,,,2,,,,,,,,
BdV_10,1,40hrs,5/21/2024 16:26:00,5/23/2024 10:30:00,42:04:00,120,unknown,31.6,294.5,,1,,40,6,1,,,4,1,,2,,,,,,,,,,,,1,gulls voraciously and brazenly picking herring from the net as it was being hauled.,
BdV_10,2,40hrs,5/21/2024 16:10:00,5/23/2024 10:08:00,41:58:00,250,unknown,31.275,269.75,1,,,200?,7,,,1,23,,,,,,4,,,,,,,,1,,gulls voraciously and brazenly picking herring from the net as it was being hauled.,
BdV_11,1,24hrs,5/23/2024 10:59:00,5/24/2024 6:27:00,19:28:00,500,unknown,30.321,276.19,,,,37,5,,,,16,,,27,,,1,,,1,,,5,,,,,
BdV_11,2,24hrs,5/23/2024 10:26:00,5/24/2024 6:13:00,19:47:00,34,unknown,NA,NA,,,,40,,,,,7,,,27,,,6,,,,,,,,,,,
BdV_12,1,12hrs,5/24/2024 7:19:00,5/24/2024 14:41:00,7:22:00,1,0.22,29,220,,,,6,2,,,,2,4,,1,,,1,,,1,,,,,,1,,
BdV_12,2,12hrs,5/24/2024 6:24:00,5/24/2024 14:27:00,8:03:00,0,0,NA,NA,,,,120,1,1,,,47,,,1,,,1,,,,,,,,,,,
BdV_13,1,12hrs,5/24/2024 14:41:00,5/25/2024 6:19,15:38:00,144,unknown,28.8375,233.5,,,,22,1,,,,5,,,16,,,2,,,,,,,,,,,
BdV_13,2,12hrs,5/24/2024 14:31:00,5/25/2024 6:10,15:39:00,15,3.805,29.466,253.66,,,,12,1,,,,6,7,,4,,,,,,,,,,,,,,
BdV_14,1,48hrs,5/25/2024 6:35:00,5/27/2024 6:38:00,48:03:00,400,unknown,28.025,209.5,,2,,53,5,,,,,3,,2,,,,,,1,,,,,2,,lots of comb jellies in each net,"COD: 81cm, 64cm"
BdV_14,2,48hrs,5/25/2024 6:16:00,5/27/2024 6:18:00,48:02:00,100,unknown,31.4,276.5,1,,1,82,2,,,,1,1,,3,,,,,,,,,,,,,lots of comb jellies in each net,
BdV_15,1,12hrs,5/27/2024 7:17:00,5/27/2024 16:15:00,8:58:00,0,0,NA,NA,,,,28,1,,,,6,,,,,,3,,,,,,,,,,,
BdV_15,2,12hrs,5/27/2024 6:33:00,5/27/2024 16:05:00,9:32:00,0,0,NA,NA,,,,300,8,,2,,160,5,,3,,,,,,,,,,,,,,
BdV_16,1,24hrs,5/27/2024 16:21:00,5/28/2024 11:00:00,18:39,50,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
BdV_16,2,24hrs,5/27/2024 16:11:00,5/28/2024 11:00:00,18:49,50,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
