Trip_ID,Port,Net_treatment,Sample_herring_FK_cm,Sample_herring_wt_g
MH_11,Musgrave_Harbour,12_night,25.5,160
MH_11,Musgrave_Harbour,12_night,28.5,210
MH_11,Musgrave_Harbour,12_night,26,150
MH_11,Musgrave_Harbour,12_night,27.5,190
MH_11,Musgrave_Harbour,12_night,26,170
MH_11,Musgrave_Harbour,12_night,27,180
MH_12,Musgrave_Harbour,12_day,NA,NA
MH_13,Musgrave_Harbour,12_night,26,160
MH_13,Musgrave_Harbour,12_night,26.5,160
MH_13,Musgrave_Harbour,12_night,25.5,170
MH_13,Musgrave_Harbour,12_night,25.5,185
MH_13,Musgrave_Harbour,12_night,26,165
MH_13,Musgrave_Harbour,12_night,25.5,140
MH_13,Musgrave_Harbour,12_night,26,150
MH_13,Musgrave_Harbour,12_night,27,175
MH_13,Musgrave_Harbour,12_night,28,180
MH_13,Musgrave_Harbour,12_night,27.5,180
MH_13,Musgrave_Harbour,12_night,27,175
MH_13,Musgrave_Harbour,12_night,27,160
MH_13,Musgrave_Harbour,12_night,27.5,190
MH_13,Musgrave_Harbour,12_night,28,190
MH_13,Musgrave_Harbour,12_night,26,140
MH_13,Musgrave_Harbour,12_night,27,175
MH_13,Musgrave_Harbour,12_night,26.5,160
MH_13,Musgrave_Harbour,12_night,26,160
MH_13,Musgrave_Harbour,12_night,27.5,185
MH_13,Musgrave_Harbour,12_night,26.5,165
BdV_13_N1,Baie_de_Verde,12_night,27,200
BdV_13_N1,Baie_de_Verde,12_night,28,235
BdV_13_N1,Baie_de_Verde,12_night,28,240
BdV_13_N1,Baie_de_Verde,12_night,28,205
BdV_13_N1,Baie_de_Verde,12_night,32,310
BdV_13_N1,Baie_de_Verde,12_night,28.5,230
BdV_13_N1,Baie_de_Verde,12_night,27.75,230
BdV_13_N1,Baie_de_Verde,12_night,28,220
BdV_13_N1,Baie_de_Verde,12_night,28,215
BdV_13_N1,Baie_de_Verde,12_night,28,215
BdV_13_N1,Baie_de_Verde,12_night,29,205
BdV_13_N1,Baie_de_Verde,12_night,32,305
BdV_13_N1,Baie_de_Verde,12_night,29,250
BdV_13_N1,Baie_de_Verde,12_night,28,240
BdV_13_N1,Baie_de_Verde,12_night,28,220
BdV_13_N1,Baie_de_Verde,12_night,29,210
BdV_13_N1,Baie_de_Verde,12_night,28,200
BdV_13_N1,Baie_de_Verde,12_night,27.5,180
BdV_13_N1,Baie_de_Verde,12_night,31,280
BdV_13_N1,Baie_de_Verde,12_night,32,280
BdV_13_N2,Baie_de_Verde,12_night,28,220
BdV_13_N2,Baie_de_Verde,12_night,31,260
BdV_13_N2,Baie_de_Verde,12_night,27,210
BdV_13_N2,Baie_de_Verde,12_night,31,250
BdV_13_N2,Baie_de_Verde,12_night,28,225
BdV_13_N2,Baie_de_Verde,12_night,31,250
BdV_13_N2,Baie_de_Verde,12_night,29,250
BdV_13_N2,Baie_de_Verde,12_night,30,255
BdV_13_N2,Baie_de_Verde,12_night,27.5,210
BdV_13_N2,Baie_de_Verde,12_night,31.5,300
BdV_13_N2,Baie_de_Verde,12_night,27.5,230
BdV_13_N2,Baie_de_Verde,12_night,31,315
BdV_13_N2,Baie_de_Verde,12_night,29,250
BdV_13_N2,Baie_de_Verde,12_night,32,340
BdV_13_N2,Baie_de_Verde,12_night,28.5,240
MH_14,Musgrave_Harbour,12_day,NA,NA
MH_15,Musgrave_Harbour,24h,25.5,150
MH_15,Musgrave_Harbour,24h,24,130
MH_15,Musgrave_Harbour,24h,27,170
MH_15,Musgrave_Harbour,24h,26,160
MH_15,Musgrave_Harbour,24h,26.5,175
MH_15,Musgrave_Harbour,24h,27,160
MH_15,Musgrave_Harbour,24h,27,180
MH_15,Musgrave_Harbour,24h,28,190
MH_15,Musgrave_Harbour,24h,26,160
MH_15,Musgrave_Harbour,24h,27,185
MH_15,Musgrave_Harbour,24h,25.5,155
MH_15,Musgrave_Harbour,24h,26,150
MH_15,Musgrave_Harbour,24h,27.5,200
MH_15,Musgrave_Harbour,24h,27,150
MH_15,Musgrave_Harbour,24h,28.5,225
MH_15,Musgrave_Harbour,24h,29,220
MH_15,Musgrave_Harbour,24h,26.5,185
MH_15,Musgrave_Harbour,24h,25.5,160
MH_15,Musgrave_Harbour,24h,29,220
MH_15,Musgrave_Harbour,24h,26.5,180
MH_16,Musgrave_Harbour,12_day,NA,NA
BdV_14_N1,Baie_de_Verde,24h,28,240
BdV_14_N1,Baie_de_Verde,24h,27,175
BdV_14_N1,Baie_de_Verde,24h,27,185
BdV_14_N1,Baie_de_Verde,24h,30,270
BdV_14_N1,Baie_de_Verde,24h,29,220
BdV_14_N1,Baie_de_Verde,24h,29,190
BdV_14_N1,Baie_de_Verde,24h,27,170
BdV_14_N1,Baie_de_Verde,24h,27,190
BdV_14_N1,Baie_de_Verde,24h,27.5,205
BdV_14_N1,Baie_de_Verde,24h,28.75,250
BdV_14_N2,Baie_de_Verde,24h,30,260
BdV_14_N2,Baie_de_Verde,24h,30,300
BdV_14_N2,Baie_de_Verde,24h,28,250
BdV_14_N2,Baie_de_Verde,24h,29.5,250
BdV_14_N2,Baie_de_Verde,24h,32,340
BdV_14_N2,Baie_de_Verde,24h,32,270
BdV_14_N2,Baie_de_Verde,24h,32,280
BdV_14_N2,Baie_de_Verde,24h,32,300
BdV_14_N2,Baie_de_Verde,24h,30,290
BdV_14_N2,Baie_de_Verde,24h,38.5,225
BdV_15,Baie_de_Verde,12_day,NA,NA
